100000; 0.014
10000; 0.003
20000; 0.002
30000; 0.003
40000; 0.004
50000; 0.040
60000; 0.005
70000; 0.007
80000; 0.012
90000; 0.026
100000; 0.011
100000; 0.010
200000; 0.029
300000; 0.037
400000; 0.049
500000; 0.058
600000; 0.069
700000; 0.084
800000; 0.106
900000; 0.138
1000000; 0.167
